Weather:,518,Location:,Shannon Airport Area,,,,,
,,,,,,,,
Voltage,10,10,10,10,10,10,10,10
,,,,,,,,
Measurand,AMPS,AMPS,AMPS,AMPS,AMPS,AMPS,AMPS,AMPS
Feeder ID,RC14,RC16,RC20,RC22,RC11,RC15,RC17,RC19
Load:,Residential,Ind/Comm,Residential,Ind/Comm,Ind/Comm,Ind/Comm,Ind/Comm,Ind/Comm
Period,Reading,Reading,Reading,Reading,Reading,Reading,Reading,Reading
16/05/2016 00:00,55.9,29.5,39.1,61,38.3,44.9,61.6,53.7
16/05/2016 00:30,49.8,29.3,36,59.4,37.8,41.5,60.7,64.3
16/05/2016 01:00,44.4,29.3,35.8,59.4,35.9,40.7,60.3,53.6
16/05/2016 01:30,44.4,29.3,35.3,59.4,32.7,35.5,58.9,53.5
16/05/2016 02:00,44.4,29.3,36.4,59.4,35.4,34,57.4,52.8
16/05/2016 02:30,44.4,29.3,37.9,59.4,32.9,34.1,57,53.5
16/05/2016 03:00,44.4,29.3,37.9,59.4,32.9,33.3,55.8,53.5
16/05/2016 03:30,41.2,29.3,36.6,59.4,32.9,33.3,56.7,53.9
16/05/2016 04:00,39.6,29.3,34.7,64.3,32.9,33.3,57.6,54.9
16/05/2016 04:30,39.6,29.3,36,65.2,30.9,33.3,60.2,64
16/05/2016 05:00,41.6,34.2,38.6,67.1,28.2,32.2,60.3,55
16/05/2016 05:30,41,33.3,40.8,66.1,28.3,24.7,56.6,60.4
16/05/2016 06:00,46,32.9,42.8,68.3,31.6,30.5,59.9,66.5
16/05/2016 06:30,51.4,33.9,45.2,67.4,34.4,35.3,88.8,69.2
16/05/2016 07:00,68.3,45.1,51,67.1,36,51.1,100.9,80.7
16/05/2016 07:30,70.3,48.7,62.6,74.9,39.6,54.2,111.8,85.7
16/05/2016 08:00,0,0,0,0,0,63.6,114.1,112.9
16/05/2016 08:30,76.6,61.2,89.3,71.8,44.3,53.3,115.7,106.4
16/05/2016 09:00,76.4,66,95.9,71.7,49.7,55.4,120.4,108.3
16/05/2016 09:30,77,65.5,93.8,75.1,49.7,58.6,121.7,114
16/05/2016 10:00,73.1,64.6,93.1,82.2,53.3,54.8,124.2,112.7
16/05/2016 10:30,72.4,63.9,98,82.4,56.4,54.3,127.5,115.6
16/05/2016 11:00,58.3,63.5,96.1,84,56.6,56.6,128.7,117.6
16/05/2016 11:30,57.2,65.3,99.5,78.5,56.6,57.3,127.4,115
16/05/2016 12:00,67.1,66.6,96.4,74.1,57.3,56.1,130.8,114.1
16/05/2016 12:30,69.1,66.9,97.1,74.1,57.3,57.1,130.2,112.6
16/05/2016 13:00,69.7,65.5,90.6,70.7,57.2,54.4,129.6,115.6
16/05/2016 13:30,68.6,65,90.7,70.7,55.6,55.6,128.9,119.5
16/05/2016 14:00,68.3,67,93.3,70.9,56.3,52.5,130.2,112.2
16/05/2016 14:30,68.4,67,94.9,69,58.2,54.9,132.8,110.8
16/05/2016 15:00,66.6,67.1,93.6,66.9,59,55.4,135,111.5
16/05/2016 15:30,66.9,66.5,91.6,69,57.8,55.6,136.7,121.3
16/05/2016 16:00,71.6,62.5,90.7,65.8,56.7,58.6,134.8,110.5
16/05/2016 16:30,76.1,53.2,82.4,68.3,58,67.2,127.4,109.4
