Weather,1043,Location: Letterkenny - Dromore,
,,,
Voltage,10,10,10
,,,
Measurand,AMPS,AMPS,AMPS
Feeder ID,GC13,CC18,CC15
Load:,Residential,Commercial,Mixed
Period,Reading,Reading,Reading
16/05/2016 00:00,47.6,73.3,44.1
16/05/2016 00:30,41.9,71.5,40
16/05/2016 01:00,39.8,69.4,39.6
16/05/2016 01:30,39.8,66.5,38.2
16/05/2016 02:00,39.8,62,35.3
16/05/2016 02:30,39.8,59.6,33.5
16/05/2016 03:00,39.8,58.3,33.1
16/05/2016 03:30,39.8,58,34.7
16/05/2016 04:00,39.8,56.6,33.6
16/05/2016 04:30,39.8,57.9,31.2
16/05/2016 05:00,39.8,54.9,31
16/05/2016 05:30,39.8,56.7,30.5
16/05/2016 06:00,40.1,64.3,30.7
16/05/2016 06:30,47.8,69.4,37.6
16/05/2016 07:00,59.1,85,50.2
16/05/2016 07:30,67.6,94.4,61
16/05/2016 08:00,70.4,112.7,61
16/05/2016 08:30,72,134.2,58.5
16/05/2016 09:00,69.8,165.6,64.5
16/05/2016 09:30,69.8,173.4,65.6
16/05/2016 10:00,69.8,183.2,65
16/05/2016 10:30,69.8,186.7,65.8
16/05/2016 11:00,71.4,186.4,68.7
16/05/2016 11:30,77.4,187.7,68.4
16/05/2016 12:00,74,189.3,66.3
16/05/2016 12:30,77.2,189.8,69.2
16/05/2016 13:00,76.7,188.8,68
16/05/2016 13:30,75.7,190.4,63.3
16/05/2016 14:00,69.1,187.1,63.7
16/05/2016 14:30,69.1,186.5,62.6
16/05/2016 15:00,70.8,181.8,64.2
16/05/2016 15:30,74.3,184.7,66
16/05/2016 16:00,75.7,184.7,71.7
16/05/2016 16:30,75.7,181,75.8
16/05/2016 17:00,76.8,171.8,76.4
16/05/2016 17:30,77.9,162.1,76.4
16/05/2016 18:00,78.2,142,76.9
16/05/2016 18:30,76.9,120.6,68
16/05/2016 19:00,76.9,104.7,66
16/05/2016 19:30,76.9,98.3,62.5
16/05/2016 20:00,76.9,98.3,62.5
16/05/2016 20:30,68.7,90.4,63.2
16/05/2016 21:00,68.7,86.4,64.8
16/05/2016 21:30,68.7,86.6,69.1
16/05/2016 22:00,68.7,87,67.8
16/05/2016 22:30,65.6,81.3,60.9
16/05/2016 23:00,60.9,75.7,55.9
16/05/2016 23:30,55.8,73.5,49.3
17/05/2016 00:00,52.4,73,42.7
17/05/2016 00:30,52.4,71.9,39
17/05/2016 01:00,52.4,70.3,37.4
17/05/2016 01:30,46.4,67.9,37.2
17/05/2016 02:00,44.2,65.6,34.6
17/05/2016 02:30,44.2,63.5,34
17/05/2016 03:00,44.2,61,33.1
17/05/2016 03:30,44.2,59.4,34.5
17/05/2016 04:00,44.2,59.2,32.4
17/05/2016 04:30,44.2,60.3,31.8
17/05/2016 05:00,44.2,57.3,33.6
17/05/2016 05:30,44.2,59.8,32.3
17/05/2016 06:00,48.7,69.3,32.9
17/05/2016 06:30,52.2,72.2,38.2
17/05/2016 07:00,58.7,89.1,50
17/05/2016 07:30,70,95.7,63.9
17/05/2016 08:00,77.1,117.6,69.4
17/05/2016 08:30,75.4,142.4,67.3
17/05/2016 09:00,75.1,165.4,69.5
17/05/2016 09:30,67.3,180.9,68.2
17/05/2016 10:00,74.3,188.8,66.3
17/05/2016 10:30,75.1,194.9,67.5
17/05/2016 11:00,75.1,198.2,70
17/05/2016 11:30,75.1,196.1,70.7
17/05/2016 12:00,75.7,196.1,70.5
17/05/2016 12:30,79.7,200.9,74.4
17/05/2016 13:00,78.6,200.4,74.6
17/05/2016 13:30,77.6,197.1,68.6
17/05/2016 14:00,77.6,198.9,72.8
17/05/2016 14:30,77.6,195.1,71.8
17/05/2016 15:00,77.6,193.6,70.9
17/05/2016 15:30,80.4,191.9,72.2
17/05/2016 16:00,80.9,194.5,79.4
17/05/2016 16:30,86.7,191.6,81.5
17/05/2016 17:00,87,184.5,76.6
17/05/2016 17:30,87.6,170.7,78.5
17/05/2016 18:00,84.3,148.1,78.3
17/05/2016 18:30,81.5,131.9,80.5
17/05/2016 19:00,79.4,117.9,74.4
17/05/2016 19:30,79.4,105.2,69
17/05/2016 20:00,79.4,105.2,69
17/05/2016 20:30,81.3,95.2,68.5
17/05/2016 21:00,75.6,91.8,74.3
17/05/2016 21:30,75.8,91.4,75.9
17/05/2016 22:00,75.6,87.9,73.5
17/05/2016 22:30,70.8,82.2,66.3
17/05/2016 23:00,0,81.2,63.3
17/05/2016 23:30,0,0,0
18/05/2016 00:00,55.1,80.6,43.4
18/05/2016 00:30,49.7,81.9,39.4
18/05/2016 01:00,49.7,79.1,40.4
18/05/2016 01:30,49.7,76.5,38.7
18/05/2016 02:00,49.7,73.2,36.1
18/05/2016 02:30,49.7,71.4,35.3
18/05/2016 03:00,49.7,68.8,36
18/05/2016 03:30,49.7,65.5,38.7
