Weather ,1332,Location:,Malahide Castle
,,,
Voltage,10,10,10
,,,
Measurand,AMPS,AMPS,AMPS
Feeder ID,MC14,MC21,MC18
Load:,Ind/Comm,Mixed,Residential
Period,Reading,Reading,Reading
16/05/2016 00:00,14,41.9,70.4
16/05/2016 00:30,14,39.8,61.4
16/05/2016 01:00,14,37.2,53.7
16/05/2016 01:30,14,35.5,49.7
16/05/2016 02:00,14,33.7,45.4
16/05/2016 02:30,14,33,42.4
16/05/2016 03:00,14,31.7,42.4
16/05/2016 03:30,14,31.3,42.4
16/05/2016 04:00,14,32,42.4
16/05/2016 04:30,14,32.4,42.4
16/05/2016 05:00,14,33.3,42.4
16/05/2016 05:30,14,32.7,49.7
16/05/2016 06:00,17.2,34.8,59.7
16/05/2016 06:30,19,39.7,70.4
16/05/2016 07:00,21.6,45.9,88.1
16/05/2016 07:30,24.5,45.5,93.8
16/05/2016 08:00,29,49.9,84.3
16/05/2016 08:30,30.2,55.5,74.7
16/05/2016 09:00,30.2,60.5,74.4
16/05/2016 09:30,30.2,62.6,74.6
16/05/2016 10:00,30.2,66.9,69.3
16/05/2016 10:30,30.2,67.2,71
16/05/2016 11:00,30.2,67.4,70.2
16/05/2016 11:30,30.2,67.5,69.1
16/05/2016 12:00,30.2,67,71.9
16/05/2016 12:30,30.2,67.1,71.7
16/05/2016 13:00,30.8,66.8,73.5
16/05/2016 13:30,31,67.6,69.4
16/05/2016 14:00,31,69.5,69.3
16/05/2016 14:30,31,68.1,71.9
16/05/2016 15:00,31,67.2,73
16/05/2016 15:30,31,68.4,74.5
16/05/2016 16:00,29.3,70,79.4
16/05/2016 16:30,26.4,68.8,97.4
16/05/2016 17:00,25.2,68.8,106.2
16/05/2016 17:30,21.2,64.7,122.4
16/05/2016 18:00,20,60.8,127.6
16/05/2016 18:30,18.1,61,124.8
16/05/2016 19:00,15.2,59.5,120.9
16/05/2016 19:30,15.2,59.6,121.4
16/05/2016 20:00,15.2,59.6,121.4
16/05/2016 20:30,15.2,56.1,112.3
16/05/2016 21:00,15.2,52.5,114.6
16/05/2016 21:30,15.2,51.4,127.5
16/05/2016 22:00,15.2,48.7,123.7
16/05/2016 22:30,15.2,44.1,109.2
16/05/2016 23:00,15.2,40.2,94
16/05/2016 23:30,15.2,38.7,79.9
17/05/2016 00:00,15.2,38.9,67.4
17/05/2016 00:30,15.2,38.9,58.1
17/05/2016 01:00,15.2,36.8,52.7
17/05/2016 01:30,15.2,34.5,48.2
17/05/2016 02:00,15.2,33,43.7
17/05/2016 02:30,15.2,32.2,43.7
17/05/2016 03:00,15.2,31,43.7
17/05/2016 03:30,15.2,30.3,43.7
17/05/2016 04:00,15.2,31.1,43.7
17/05/2016 04:30,15.2,30.5,43.7
17/05/2016 05:00,15.2,31.2,43.7
17/05/2016 05:30,15.2,31.2,49.9
17/05/2016 06:00,15.2,32.5,58.4
17/05/2016 06:30,20.1,39,72.9
17/05/2016 07:00,20.6,43.7,89.4
17/05/2016 07:30,25.4,45.9,93.4
17/05/2016 08:00,29.8,52.6,87.1
17/05/2016 08:30,30.3,56.6,73.9
17/05/2016 09:00,30.3,61.2,74.4
17/05/2016 09:30,30.6,62.7,69.4
17/05/2016 10:00,30.5,67.1,66.5
17/05/2016 10:30,32,67.6,69.3
17/05/2016 11:00,32,69.9,66.6
17/05/2016 11:30,33,69.9,65.5
17/05/2016 12:00,32.1,69.3,64.5
17/05/2016 12:30,32.1,71.6,65.9
17/05/2016 13:00,33.1,70.1,72.3
17/05/2016 13:30,32.8,69.2,71
17/05/2016 14:00,32.8,69,68.5
17/05/2016 14:30,32.8,69.5,68.2
17/05/2016 15:00,32.8,69.7,72.5
17/05/2016 15:30,32.8,69.7,78.8
17/05/2016 16:00,29.5,71.2,86.1
17/05/2016 16:30,27.6,71.2,97.1
17/05/2016 17:00,75.8,68.6,111.5
17/05/2016 17:30,85.9,71.6,128.4
17/05/2016 18:00,71.3,68.5,133.6
17/05/2016 18:30,62.9,64.5,130.2
17/05/2016 19:00,58.3,62.9,122.5
17/05/2016 19:30,58.3,60.2,115.9
17/05/2016 20:00,58.3,60.2,115.9
17/05/2016 20:30,52.9,57.8,118.9
17/05/2016 21:00,52.9,56.1,126.6
17/05/2016 21:30,52.9,54.3,128.7
17/05/2016 22:00,52.9,50.6,125.3
17/05/2016 22:30,48.2,46.7,108.7
17/05/2016 23:00,51.3,42.8,93.8
17/05/2016 23:30,52.2,39.8,78.8
18/05/2016 00:00,47,41.2,65.5
18/05/2016 00:30,47,38.9,59.1
18/05/2016 01:00,47,36.4,54.2
18/05/2016 01:30,47,33.2,47.7
18/05/2016 02:00,47,32.3,47.7
18/05/2016 02:30,47,32.2,43.1
18/05/2016 03:00,47,31.2,42.4
18/05/2016 03:30,47,30.4,42.4
18/05/2016 04:00,47,30.9,42.4
